date_kst,league,home,away,market,selection,line,p_model,p_market,p_final,edge_pp,odds_taken,stake_units,closing_odds,tier,result,notes
2026-08-02,EPL,아스날,브라이튼,1X2,홈승,,0.612,0.548,0.564,1.6,1.80,1.0,1.74,부주력,WIN,공식 라인업 반영
2026-08-02,EPL,에버턴,풀럼,U-O,언더,2.5,0.585,0.542,0.553,1.1,1.85,1.0,1.90,부주력,LOSE,우천 예보 반영했으나 오버
2026-08-03,K리그1,울산,전북,AH,홈커버,-0.25,0.556,0.521,0.530,0.9,1.92,1.0,1.88,부주력,HALF_WIN,
2026-08-03,K리그1,포항,서울,1X2,무승부,,0.301,0.272,0.279,0.7,3.60,1.0,3.45,부주력,WIN,
2026-08-09,라리가,레알마드리드,헤타페,AH,홈커버,-1.5,0.618,0.571,0.583,1.2,1.80,1.0,1.83,부주력,LOSE,로테이션 과소평가
2026-08-09,분데스리가,바이에른,볼프스부르크,U-O,오버,3.5,0.541,0.508,0.516,0.8,1.95,1.0,1.92,부주력,WIN,
2026-08-10,세리에A,인터,라치오,1X2,홈승,,0.588,0.531,0.545,1.4,1.90,1.0,1.86,주력,WIN,
2026-08-10,EPL,맨시티,토트넘,AH,원정커버,1.25,0.572,0.534,0.544,1.0,1.88,1.0,1.95,부주력,LOSE,
2026-08-11,K리그2,수원삼성,부산,1X2,홈승,,0.523,0.489,0.497,0.8,2.10,1.0,2.05,부주력,LOSE,
2026-08-11,리그앙,PSG,렌,U-O,오버,2.5,0.646,0.612,0.620,0.8,1.68,1.0,1.62,부주력,WIN,
